subject,baseline_model,csp_model,baseline_balanced_accuracy,csp_balanced_accuracy,csp_minus_baseline_balanced_accuracy,baseline_qc_balanced_accuracy,csp_qc_balanced_accuracy,qc_csp_minus_baseline_balanced_accuracy,csp_folds_above_chance_count,csp_fold_range,csp_fists_recall,csp_feet_recall,qc_candidate_count,matched_subject_and_trials
81,spectral_baseline_6,csp_4_empirical,0.6636904761904763,0.6220238095238095,-0.04166666666666674,0.6706349206349206,0.6527777777777778,-0.017857142857142794,2,0.3660714285714286,0.36363636363636365,0.8695652173913043,2,True
82,spectral_baseline_6,csp_4_empirical,0.6666666666666666,0.6190476190476191,-0.04761904761904756,0.6567460317460317,0.49404761904761907,-0.16269841269841268,3,0.125,0.6666666666666666,0.5714285714285714,7,True
83,spectral_baseline_6,csp_4_empirical,0.6726190476190476,0.6517857142857143,-0.02083333333333326,0.6547619047619048,0.7202380952380952,0.06547619047619047,2,0.3660714285714286,0.4090909090909091,0.8695652173913043,2,True
84,spectral_baseline_6,csp_4_empirical,0.5892857142857143,0.5922619047619048,0.0029761904761904656,0.6144841269841269,0.6291666666666667,0.014682539682539741,3,0.0535714285714286,0.6363636363636364,0.5217391304347826,5,True
85,spectral_baseline_6,csp_4_empirical,0.8363095238095238,0.9375,0.10119047619047616,0.7468253968253968,0.9523809523809524,0.2055555555555556,3,0.125,0.8695652173913043,1.0,10,True
86,spectral_baseline_6,csp_4_empirical,0.6428571428571429,0.7946428571428571,0.1517857142857142,0.636904761904762,0.8402777777777778,0.20337301587301582,3,0.4285714285714286,0.7142857142857143,0.875,11,True
87,spectral_baseline_6,csp_4_empirical,0.5,0.6696428571428572,0.1696428571428572,0.6468253968253969,0.5285714285714286,-0.11825396825396828,3,0.2410714285714285,0.7391304347826086,0.5909090909090909,11,True
89,spectral_baseline_6,csp_4_empirical,0.6190476190476191,0.49404761904761907,-0.125,0.6373015873015873,0.5265873015873016,-0.11071428571428565,1,0.32142857142857145,0.75,0.23809523809523808,5,True
90,spectral_baseline_6,csp_4_empirical,0.5327380952380952,0.5803571428571429,0.04761904761904767,0.6011904761904762,0.5515873015873016,-0.04960317460317454,2,0.2321428571428572,0.5,0.6521739130434783,2,True
91,spectral_baseline_6,csp_4_empirical,0.6577380952380952,0.75,0.09226190476190477,0.6597222222222222,0.7351190476190476,0.07539682539682535,3,0.2857142857142858,0.6818181818181818,0.8260869565217391,3,True
93,spectral_baseline_6,csp_4_empirical,0.7827380952380952,0.8898809523809524,0.1071428571428572,0.7916666666666666,0.9107142857142857,0.11904761904761907,3,0.1339285714285714,0.9130434782608695,0.8636363636363636,10,True
94,spectral_baseline_6,csp_4_empirical,0.5416666666666666,0.7053571428571429,0.16369047619047628,0.6706349206349206,0.7896825396825397,0.11904761904761907,3,0.2321428571428572,0.5454545454545454,0.8695652173913043,11,True
95,spectral_baseline_6,csp_4_empirical,0.7142857142857143,0.7529761904761904,0.03869047619047605,0.75,0.6944444444444443,-0.05555555555555569,3,0.3660714285714286,0.6363636363636364,0.8695652173913043,14,True
96,spectral_baseline_6,csp_4_empirical,0.49404761904761907,0.5029761904761905,0.008928571428571397,0.485515873015873,0.5156746031746032,0.030158730158730218,1,0.1428571428571428,0.38095238095238093,0.625,6,True
97,spectral_baseline_6,csp_4_empirical,0.6369047619047619,0.8035714285714285,0.16666666666666663,0.6408730158730158,0.7906746031746031,0.14980158730158732,3,0.1428571428571428,0.782608695652174,0.8181818181818182,3,True
98,spectral_baseline_6,csp_4_empirical,0.6666666666666666,0.7559523809523809,0.0892857142857143,0.6577380952380952,0.748015873015873,0.09027777777777779,3,0.4017857142857143,0.7619047619047619,0.75,4,True
99,spectral_baseline_6,csp_4_empirical,0.4761904761904761,0.6428571428571428,0.16666666666666669,0.4880952380952381,0.6666666666666666,0.17857142857142855,3,0.2142857142857143,0.6190476190476191,0.6666666666666666,1,True
101,spectral_baseline_6,csp_4_empirical,0.40178571428571425,0.44047619047619047,0.03869047619047622,0.3507936507936508,0.5369047619047619,0.18611111111111106,0,0.0625,0.5,0.38095238095238093,10,True
102,spectral_baseline_6,csp_4_empirical,0.5476190476190476,0.5238095238095238,-0.023809523809523725,0.5257936507936508,0.6198412698412699,0.09404761904761905,1,0.0714285714285714,0.5238095238095238,0.5238095238095238,9,True
103,spectral_baseline_6,csp_4_empirical,0.5148809523809524,0.6934523809523809,0.1785714285714285,0.4916666666666667,0.75,0.2583333333333333,3,0.4196428571428572,0.9090909090909091,0.4782608695652174,13,True
104,spectral_baseline_6,csp_4_empirical,0.625,0.7797619047619048,0.15476190476190477,0.520436507936508,0.8079365079365081,0.2875000000000001,3,0.2767857142857143,0.7272727272727273,0.8260869565217391,7,True
105,spectral_baseline_6,csp_4_empirical,0.6369047619047619,0.6458333333333334,0.008928571428571508,0.6041666666666666,0.6795634920634921,0.07539682539682546,3,0.1785714285714285,0.625,0.6666666666666666,5,True
106,spectral_baseline_6,csp_4_empirical,0.6547619047619048,0.6428571428571429,-0.011904761904761862,0.7047619047619048,0.5777777777777778,-0.12698412698412698,3,0.0625,0.6956521739130435,0.5909090909090909,8,True
107,spectral_baseline_6,csp_4_empirical,0.5952380952380953,0.6577380952380952,0.06249999999999989,0.4789682539682539,0.5982142857142857,0.11924603174603182,3,0.1964285714285714,0.5454545454545454,0.782608695652174,6,True
108,spectral_baseline_6,csp_4_empirical,0.6458333333333334,0.5654761904761906,-0.0803571428571428,0.6418650793650793,0.625,-0.016865079365079305,3,0.0982142857142857,0.45454545454545453,0.6521739130434783,5,True
109,spectral_baseline_6,csp_4_empirical,0.5773809523809524,0.5863095238095238,0.008928571428571397,0.6261904761904761,0.4373015873015873,-0.18888888888888877,2,0.26785714285714285,0.6521739130434783,0.5,7,True
