development_fold,subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,training_subjects,target_adaptation_used
9,9,shrinkage_lda,10,0.7410714285714286,0.7333333333333333,0.625,0.8571428571428571,5,3,1,6,15,False,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,shrinkage_lda,14,0.4642857142857143,0.4666666666666667,0.42857142857142855,0.5,3,4,4,4,15,False,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,shrinkage_lda,6,0.369047619047619,0.38461538461538464,0.16666666666666666,0.5714285714285714,1,5,3,4,13,True,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,shrinkage_lda,10,0.7410714285714286,0.7333333333333333,0.625,0.8571428571428571,5,3,1,6,15,True,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,shrinkage_lda,14,0.4642857142857143,0.4666666666666667,0.42857142857142855,0.5,3,4,4,4,15,True,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,l2_logistic_regression,6,0.3482142857142857,0.3333333333333333,0.125,0.5714285714285714,1,7,3,4,15,False,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,l2_logistic_regression,10,0.6696428571428572,0.6666666666666666,0.625,0.7142857142857143,5,3,2,5,15,False,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,l2_logistic_regression,14,0.4642857142857143,0.4666666666666667,0.42857142857142855,0.5,3,4,4,4,15,False,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,l2_logistic_regression,6,0.369047619047619,0.38461538461538464,0.16666666666666666,0.5714285714285714,1,5,3,4,13,True,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,l2_logistic_regression,10,0.6696428571428572,0.6666666666666666,0.625,0.7142857142857143,5,3,2,5,15,True,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
9,9,l2_logistic_regression,14,0.4642857142857143,0.4666666666666667,0.42857142857142855,0.5,3,4,4,4,15,True,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
10,10,shrinkage_lda,6,0.4464285714285714,0.4666666666666667,0.14285714285714285,0.75,1,6,2,6,15,False,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,shrinkage_lda,10,0.6696428571428572,0.6666666666666666,0.625,0.7142857142857143,5,3,2,5,15,False,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,shrinkage_lda,14,0.8035714285714286,0.8,0.75,0.8571428571428571,6,2,1,6,15,False,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,shrinkage_lda,6,0.3333333333333333,0.4444444444444444,0.0,0.6666666666666666,0,3,2,4,9,True,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,shrinkage_lda,10,0.8571428571428572,0.8333333333333334,0.7142857142857143,1.0,5,2,0,5,12,True,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
