fold_balanced_accuracy_range,fold_balanced_accuracy_run_10,fold_balanced_accuracy_run_14,fold_balanced_accuracy_run_6,folds_above_chance_count,group_observational_unit,included_trial_count,model,out_of_fold_accuracy,out_of_fold_balanced_accuracy,out_of_fold_feet_recall,out_of_fold_fists_recall,out_of_fold_macro_f1,out_of_fold_roc_auc,out_of_fold_trial_count,out_of_fold_true_feet_predicted_feet,out_of_fold_true_feet_predicted_fists,out_of_fold_true_fists_predicted_feet,out_of_fold_true_fists_predicted_fists,primary_mean_fold_balanced_accuracy,qc_candidate_count,qc_sensitivity,subject
0.27142857142857146,0.7857142857142857,0.7285714285714285,1.0,3,participant,37,csp_4_empirical,0.8378378378378378,0.8422619047619048,0.8095238095238095,0.875,0.8367647058823529,0.9017857142857144,37,17,4,2,14,0.8380952380952381,5,True,34
0.125,0.8035714285714286,0.7410714285714286,0.8660714285714286,3,participant,45,spectral_baseline_6,0.8,0.8035714285714286,0.8571428571428571,0.75,0.8,0.8353174603174603,45,18,3,6,18,0.8035714285714285,1,False,35
0.2589285714285714,0.8035714285714286,0.6696428571428572,0.9285714285714286,3,participant,44,spectral_baseline_6,0.7954545454545454,0.7960662525879918,0.8095238095238095,0.782608695652174,0.7953488372093023,0.8509316770186335,44,17,4,5,18,0.8005952380952381,1,True,35
0.1428571428571428,0.8571428571428572,1.0,1.0,3,participant,45,csp_4_empirical,0.9555555555555556,0.9523809523809523,0.9047619047619048,1.0,0.955,0.9880952380952381,45,19,2,0,24,0.9523809523809524,1,False,35
0.1428571428571428,0.8571428571428572,1.0,1.0,3,participant,44,csp_4_empirical,0.9545454545454546,0.9523809523809523,0.9047619047619048,1.0,0.9541666666666666,0.9979296066252589,44,19,2,0,23,0.9523809523809524,1,True,35
0.01785714285714285,0.4732142857142857,0.4642857142857143,0.45535714285714285,0,participant,45,spectral_baseline_6,0.4666666666666667,0.46640316205533594,0.4782608695652174,0.45454545454545453,0.46640316205533594,0.4980237154150198,45,11,12,12,10,0.46428571428571425,5,False,36
0.18154761904761896,0.4642857142857143,0.6190476190476191,0.6458333333333333,2,participant,40,spectral_baseline_6,0.575,0.5782828282828283,0.5454545454545454,0.6111111111111112,0.5747342088805503,0.6237373737373737,40,12,10,7,11,0.5763888888888888,5,True,36
0.1964285714285714,0.8660714285714286,0.6696428571428572,0.7857142857142857,3,participant,45,csp_4_empirical,0.7777777777777778,0.775691699604743,0.8695652173913043,0.6818181818181818,0.775,0.8695652173913043,45,20,3,7,15,0.7738095238095238,5,False,36
0.16666666666666663,0.8452380952380952,0.6785714285714286,0.75,3,participant,40,csp_4_empirical,0.775,0.7601010101010102,0.9090909090909091,0.6111111111111112,0.7630019749835418,0.8484848484848485,40,20,2,7,11,0.7579365079365079,5,True,36
0.21428571428571425,0.4285714285714286,0.6428571428571428,0.42857142857142855,1,participant,42,spectral_baseline_6,0.5,0.5,0.6190476190476191,0.38095238095238093,0.4928119608970673,0.417233560090703,42,13,8,13,8,0.5,11,False,37
0.09285714285714292,0.3571428571428571,0.45,0.41666666666666663,0,participant,31,spectral_baseline_6,0.3870967741935484,0.384453781512605,0.4117647058823529,0.35714285714285715,0.38453500522466044,0.38235294117647056,31,7,10,9,5,0.4079365079365079,11,True,37
