subject,test_run,condition,calibration_test_direction_cosine,calibration_direction_magnitude
39,14,B,-0.051770234964153464,3.066146928092929
39,14,C,0.008428962494916563,2.172113415784507
40,6,A,0.007050973690167424,2.470482821173543
40,6,B,0.01718015649663334,3.449039940562455
40,6,C,0.0073316792665631065,2.404964939523703
40,10,A,0.08718452307082772,2.3162243992389464
40,10,B,0.07340459930161887,3.1425952204199086
40,10,C,0.0895816173331826,2.2559806986246524
40,14,A,0.06159967076753103,2.2689048211809775
40,14,B,0.11499542278046611,3.1253044245929296
40,14,C,0.0817775416362944,2.208732225620714
41,6,A,0.008543182609796182,1.7769017095848296
41,6,B,-0.0002871107763564056,2.383211518355076
41,6,C,0.008543182609796186,1.7769017095848296
41,10,A,0.07194333921024118,1.733693410659744
41,10,B,0.05727878624551295,2.274369549532014
41,10,C,0.0719433392102412,1.733693410659744
41,14,A,0.08459828716912078,1.6872394136713915
41,14,B,0.06443497331649208,2.2984201219686065
41,14,C,0.08459828716912077,1.6872394136713915
42,6,A,0.82841181822713,4.6553386420123415
42,6,B,0.7684685677763794,4.749660958733258
42,6,C,0.8395382800196002,4.771282710554107
42,10,A,0.7616029944426735,4.637244504673363
42,10,B,0.5344581242860188,4.821247133263155
42,10,C,0.8012969774265798,4.930108191861334
42,14,A,0.7952701082584388,5.033163146589871
42,14,B,0.7607038883513613,5.4768385899281595
42,14,C,0.7926734338789164,5.1478572005885885
43,6,A,0.19681694940011846,2.4647372018280636
43,6,B,0.18578237380559326,3.2670016990837136
43,6,C,0.20941562704721872,2.4245128278599832
43,10,A,0.21006776963156995,2.5393907954027215
43,10,B,0.17117481730046977,3.477190209420032
43,10,C,0.20216365579285261,2.4004824234574564
43,14,A,0.23922592246678634,2.47078659441822
43,14,B,0.17899541170902133,3.329277420815615
43,14,C,0.2503921391898609,2.429232991701436
44,6,A,0.4986317790524758,3.464808743347014
44,6,B,0.4412852507908885,3.8976612944886355
44,6,C,0.5234878764213832,3.89813993442772
44,10,A,0.6330823815832238,3.6696432529219116
44,10,B,0.519123594313471,3.8287873518004925
44,10,C,0.6381007782367912,3.5988552572597987
44,14,A,0.6041497564733715,2.893199599384969
44,14,B,0.463142430355148,3.3926553997509474
44,14,C,0.6605340322984103,3.1431423468990256
45,6,A,0.15094944752561704,1.640327298586604
45,6,B,0.10723995919972058,2.1856456531660737
45,6,C,0.15953504792134698,1.5414103878121594
45,10,A,0.15955978060309023,1.6050584355552207
45,10,B,0.10103113090728605,2.110813041022598
45,10,C,0.1726347524830854,1.5770491493600496
45,14,A,0.1588541238676947,1.6619200763533002
45,14,B,0.0845440950839469,2.203001240136601
45,14,C,0.14177258624773573,1.6109508162291504
46,6,A,0.14215900614950627,2.115866547365885
46,6,B,0.09192945348413561,2.7494490176552175
46,6,C,0.15960563982752646,2.0564976320090684
46,10,A,0.13813432537616527,2.038229817747189
46,10,B,0.13815664822391113,2.6894070595287314
46,10,C,0.1492300249504758,1.9865461667876068
46,14,A,0.10970588401286836,2.203036722600715
46,14,B,0.015389567550050203,2.8598716387370886
46,14,C,0.10083406504500067,2.1298266005586295
47,6,A,-0.02589353603505397,1.8378048670098925
47,6,B,-0.015870237976303422,2.717480201167652
47,6,C,-0.019772005555732435,1.7998336052901989
47,10,A,-0.05293776715545395,1.9086468449897591
47,10,B,-0.10145852683139389,2.8049661373449823
47,10,C,-0.07061879360727244,1.869251026834895
47,14,A,-0.0741493698743364,1.9650700662551253
