subject,method,calibration_size,zero_balanced_accuracy,calibrated_balanced_accuracy,gain_over_matched_zero
94,threshold,8,0.7559523809523809,0.6830357142857143,-0.07291666666666663
94,threshold,12,0.7559523809523809,0.7425595238095237,-0.013392857142857206
94,threshold,14,0.7559523809523809,0.71875,-0.03720238095238093
95,threshold,0,0.5505952380952381,0.5505952380952381,0.0
95,threshold,4,0.5505952380952381,0.8645833333333334,0.31398809523809523
95,threshold,8,0.5505952380952381,0.8229166666666666,0.2723214285714285
95,threshold,12,0.5505952380952381,0.8095238095238096,0.2589285714285715
95,threshold,14,0.5505952380952381,0.7663690476190476,0.21577380952380942
96,threshold,0,0.5535714285714285,0.5535714285714285,0.0
96,threshold,4,0.5535714285714285,0.5803571428571429,0.026785714285714413
96,threshold,8,0.5535714285714285,0.5267857142857143,-0.02678571428571419
96,threshold,12,0.5535714285714285,0.5997023809523809,0.04613095238095244
96,threshold,14,0.5535714285714285,0.5714285714285714,0.017857142857142905
97,threshold,0,0.4166666666666667,0.4166666666666667,0.0
97,threshold,4,0.4166666666666667,0.4479166666666667,0.03125
97,threshold,8,0.4166666666666667,0.4479166666666667,0.03125
97,threshold,12,0.4166666666666667,0.46875,0.052083333333333315
97,threshold,14,0.4166666666666667,0.46875,0.052083333333333315
98,threshold,0,0.6309523809523809,0.6309523809523809,0.0
98,threshold,4,0.6309523809523809,0.6845238095238096,0.053571428571428714
98,threshold,8,0.6309523809523809,0.6636904761904762,0.03273809523809523
98,threshold,12,0.6309523809523809,0.6934523809523809,0.0625
98,threshold,14,0.6309523809523809,0.6934523809523809,0.0625
99,threshold,0,0.5357142857142857,0.5357142857142857,0.0
99,threshold,4,0.5357142857142857,0.48065476190476186,-0.055059523809523836
99,threshold,8,0.5357142857142857,0.49404761904761907,-0.04166666666666663
99,threshold,12,0.5357142857142857,0.49999999999999994,-0.035714285714285754
99,threshold,14,0.5357142857142857,0.5431547619047619,0.007440476190476164
101,threshold,0,0.5,0.5,0.0
101,threshold,4,0.5,0.4866071428571428,-0.013392857142857206
101,threshold,8,0.5,0.4970238095238095,-0.002976190476190521
101,threshold,12,0.5,0.49999999999999994,-5.551115123125783e-17
101,threshold,14,0.5,0.5416666666666666,0.04166666666666663
102,threshold,0,0.5952380952380952,0.5952380952380952,0.0
102,threshold,4,0.5952380952380952,0.6428571428571429,0.04761904761904767
102,threshold,8,0.5952380952380952,0.6428571428571429,0.04761904761904767
102,threshold,12,0.5952380952380952,0.6309523809523809,0.0357142857142857
102,threshold,14,0.5952380952380952,0.5833333333333334,-0.011904761904761862
103,threshold,0,0.5446428571428571,0.5446428571428571,0.0
103,threshold,4,0.5446428571428571,0.5476190476190476,0.0029761904761904656
103,threshold,8,0.5446428571428571,0.5133928571428571,-0.03125
103,threshold,12,0.5446428571428571,0.49553571428571436,-0.04910714285714274
103,threshold,14,0.5446428571428571,0.5104166666666666,-0.034226190476190466
104,threshold,0,0.5833333333333334,0.5833333333333334,0.0
104,threshold,4,0.5833333333333334,0.6116071428571429,0.028273809523809534
104,threshold,8,0.5833333333333334,0.6116071428571429,0.028273809523809534
104,threshold,12,0.5833333333333334,0.6116071428571429,0.028273809523809534
104,threshold,14,0.5833333333333334,0.6458333333333334,0.0625
105,threshold,0,0.7767857142857144,0.7767857142857144,0.0
105,threshold,4,0.7767857142857144,0.7068452380952381,-0.06994047619047628
105,threshold,8,0.7767857142857144,0.7008928571428571,-0.07589285714285732
105,threshold,12,0.7767857142857144,0.7217261904761904,-0.05505952380952406
105,threshold,14,0.7767857142857144,0.7217261904761904,-0.05505952380952406
106,threshold,0,0.5,0.5,0.0
106,threshold,4,0.5,0.6339285714285714,0.1339285714285714
106,threshold,8,0.5,0.6547619047619048,0.15476190476190477
106,threshold,12,0.5,0.6339285714285714,0.1339285714285714
