subject,test_run,size,balanced_accuracy,fists_recall,feet_recall,variant_count,test_trial_count
41,14,22,0.5714285714285714,0.9285714285714286,0.21428571428571427,2,14
41,14,26,0.6071428571428571,0.8571428571428572,0.3571428571428571,2,14
41,14,28,0.7142857142857143,1.0,0.42857142857142855,1,14
42,6,14,1.0,1.0,1.0,2,15
42,6,18,1.0,1.0,1.0,2,15
42,6,22,1.0,1.0,1.0,2,15
42,6,26,1.0,1.0,1.0,2,15
42,6,28,1.0,1.0,1.0,1,15
42,10,14,1.0,1.0,1.0,2,15
42,10,18,1.0,1.0,1.0,2,15
42,10,22,1.0,1.0,1.0,2,15
42,10,26,1.0,1.0,1.0,2,15
42,10,28,1.0,1.0,1.0,1,15
42,14,14,0.96875,0.9375,1.0,2,15
42,14,18,0.9375,0.875,1.0,2,15
42,14,22,0.9375,0.875,1.0,2,15
42,14,26,0.9375,0.875,1.0,2,15
42,14,28,0.9375,0.875,1.0,1,15
43,6,14,0.7366071428571429,0.6875,0.7857142857142857,2,15
43,6,18,0.8035714285714286,0.75,0.8571428571428571,2,15
43,6,22,0.7321428571428572,0.75,0.7142857142857143,2,15
43,6,26,0.7633928571428572,0.8125,0.7142857142857143,2,15
43,6,28,0.7321428571428572,0.75,0.7142857142857143,1,15
43,10,14,0.8348214285714286,0.8125,0.8571428571428572,2,15
43,10,18,0.7098214285714286,0.5625,0.8571428571428572,2,15
43,10,22,1.0,1.0,1.0,2,15
43,10,26,1.0,1.0,1.0,2,15
43,10,28,1.0,1.0,1.0,1,15
43,14,14,0.7901785714285714,0.6428571428571428,0.9375,2,15
43,14,18,0.9642857142857143,0.9285714285714286,1.0,2,15
43,14,22,0.96875,1.0,0.9375,2,15
43,14,26,0.96875,1.0,0.9375,2,15
43,14,28,0.9375,1.0,0.875,1,15
44,6,14,0.7053571428571428,0.625,0.7857142857142857,2,15
44,6,18,0.7053571428571429,0.625,0.7857142857142857,2,15
44,6,22,0.7366071428571429,0.6875,0.7857142857142857,2,15
44,6,26,0.7321428571428572,0.75,0.7142857142857142,2,15
44,6,28,0.7321428571428572,0.75,0.7142857142857143,1,15
44,10,14,0.6116071428571429,0.4375,0.7857142857142857,2,15
44,10,18,0.7767857142857143,0.625,0.9285714285714286,2,15
44,10,22,0.75,0.5,1.0,2,15
44,10,26,0.6607142857142857,0.75,0.5714285714285714,2,15
44,10,28,0.6607142857142857,0.75,0.5714285714285714,1,15
44,14,14,0.7321428571428572,0.7142857142857142,0.75,2,15
44,14,18,0.8125,1.0,0.625,2,15
44,14,22,0.7767857142857143,0.9285714285714286,0.625,2,15
44,14,26,0.7767857142857143,0.9285714285714286,0.625,2,15
44,14,28,0.7410714285714286,0.8571428571428571,0.625,1,15
45,6,14,0.5714285714285714,0.5,0.6428571428571428,2,15
45,6,18,0.6473214285714286,0.4375,0.8571428571428571,2,15
45,6,22,0.6026785714285714,0.5625,0.6428571428571428,2,15
45,6,26,0.6116071428571429,0.4375,0.7857142857142857,2,15
45,6,28,0.6785714285714286,0.5,0.8571428571428571,1,15
45,10,14,0.4732142857142857,0.375,0.5714285714285714,2,15
45,10,18,0.6830357142857143,0.4375,0.9285714285714286,2,15
45,10,22,0.6026785714285714,0.5625,0.6428571428571428,2,15
45,10,26,0.6294642857142858,0.6875,0.5714285714285714,2,15
45,10,28,0.6160714285714286,0.375,0.8571428571428571,1,15
45,14,14,0.6383928571428572,0.5625,0.7142857142857143,2,15
45,14,18,0.6607142857142857,0.75,0.5714285714285714,2,15
45,14,22,0.5223214285714286,0.6875,0.3571428571428571,2,15
45,14,26,0.5982142857142858,0.625,0.5714285714285714,2,15
45,14,28,0.6696428571428572,0.625,0.7142857142857143,1,15
46,6,14,0.7544642857142857,0.9375,0.5714285714285714,2,15
46,6,18,0.7232142857142857,0.875,0.5714285714285714,2,15
46,6,22,0.6964285714285714,0.75,0.6428571428571428,2,15
46,6,26,0.6607142857142857,0.75,0.5714285714285714,2,15
46,6,28,0.6607142857142857,0.75,0.5714285714285714,1,15
46,10,14,0.6696428571428572,0.7142857142857143,0.625,2,15
46,10,18,0.6741071428571429,0.7857142857142857,0.5625,2,15
46,10,22,0.6116071428571429,0.7857142857142857,0.4375,2,15
46,10,26,0.6741071428571429,0.7857142857142857,0.5625,2,15
46,10,28,0.5446428571428572,0.7142857142857143,0.375,1,15
46,14,14,0.6875,1.0,0.375,2,15
46,14,18,0.6473214285714286,0.8571428571428571,0.4375,2,15
46,14,22,0.7008928571428572,0.7142857142857143,0.6875,2,15
46,14,26,0.6339285714285714,0.6428571428571428,0.625,2,15
46,14,28,0.7321428571428572,0.7142857142857143,0.75,1,15
47,6,14,0.4375,0.375,0.5,2,15
47,6,18,0.34375,0.1875,0.5,2,15
47,6,22,0.5267857142857143,0.125,0.9285714285714286,2,15
