accuracy,balanced_accuracy,feet_recall,fists_recall,fold,macro_f1,model,qc_sensitivity,roc_auc,subject,test_run,training_runs,trial_count,true_feet_predicted_feet,true_feet_predicted_fists,true_fists_predicted_feet,true_fists_predicted_fists
0.4666666666666667,0.4732142857142857,0.375,0.5714285714285714,2,0.4642857142857143,spectral_baseline_6,False,0.5,96,10,6/14,15,3,5,3,4
0.6,0.6160714285714286,0.375,0.8571428571428571,3,0.5833333333333333,spectral_baseline_6,False,0.6428571428571429,96,14,6/10,15,3,5,1,6
0.46153846153846156,0.45,0.5,0.4,1,0.4484848484848485,spectral_baseline_6,True,0.525,96,6,10/14,13,4,4,3,2
0.38461538461538464,0.3875,0.375,0.4,2,0.38095238095238093,spectral_baseline_6,True,0.475,96,10,6/14,13,3,5,3,2
0.6153846153846154,0.6190476190476191,0.5714285714285714,0.6666666666666666,3,0.6153846153846154,spectral_baseline_6,True,0.6190476190476191,96,14,6/10,13,4,3,2,4
0.6,0.5803571428571428,0.875,0.2857142857142857,1,0.55,csp_4_empirical,False,0.6785714285714286,96,6,10/14,15,7,1,5,2
0.4666666666666667,0.4375,0.875,0.0,2,0.3181818181818182,csp_4_empirical,False,0.3392857142857143,96,10,6/14,15,7,1,7,0
0.4666666666666667,0.49107142857142855,0.125,0.8571428571428571,3,0.4,csp_4_empirical,False,0.3928571428571429,96,14,6/10,15,1,7,1,6
0.6153846153846154,0.5375,0.875,0.2,1,0.5112781954887218,csp_4_empirical,True,0.6000000000000001,96,6,10/14,13,7,1,4,1
0.46153846153846156,0.45,0.5,0.4,2,0.4484848484848485,csp_4_empirical,True,0.525,96,10,6/14,13,4,4,3,2
0.5384615384615384,0.5595238095238095,0.2857142857142857,0.8333333333333334,3,0.5125,csp_4_empirical,True,0.6428571428571429,96,14,6/10,13,2,5,1,5
0.6,0.5982142857142857,0.5714285714285714,0.625,1,0.5982142857142857,spectral_baseline_6,False,0.5,97,6,10/14,15,4,3,3,5
0.8,0.7946428571428572,0.875,0.7142857142857143,2,0.7963800904977376,spectral_baseline_6,False,0.8571428571428571,97,10,6/14,15,7,1,2,5
0.5333333333333333,0.5178571428571428,0.2857142857142857,0.75,3,0.49760765550239233,spectral_baseline_6,False,0.5357142857142857,97,14,6/10,15,2,5,2,6
0.6153846153846154,0.6190476190476191,0.6666666666666666,0.5714285714285714,1,0.6153846153846154,spectral_baseline_6,True,0.5476190476190476,97,6,10/14,13,4,2,3,4
0.7857142857142857,0.7857142857142857,1.0,0.5714285714285714,2,0.7754010695187166,spectral_baseline_6,True,0.836734693877551,97,10,6/14,14,7,0,3,4
0.5333333333333333,0.5178571428571428,0.2857142857142857,0.75,3,0.49760765550239233,spectral_baseline_6,True,0.5714285714285714,97,14,6/10,15,2,5,2,6
0.7333333333333333,0.7321428571428572,0.7142857142857143,0.75,1,0.7321428571428572,csp_4_empirical,False,0.8392857142857143,97,6,10/14,15,5,2,2,6
0.8,0.8035714285714286,0.75,0.8571428571428571,2,0.8,csp_4_empirical,False,0.7678571428571428,97,10,6/14,15,6,2,1,6
0.8666666666666667,0.875,1.0,0.75,3,0.8660714285714286,csp_4_empirical,False,0.8571428571428571,97,14,6/10,15,7,0,2,6
0.8461538461538461,0.8452380952380952,0.8333333333333334,0.8571428571428571,1,0.8452380952380952,csp_4_empirical,True,0.8571428571428571,97,6,10/14,13,5,1,1,6
0.7857142857142857,0.7857142857142857,0.7142857142857143,0.8571428571428571,2,0.7846153846153847,csp_4_empirical,True,0.7755102040816326,97,10,6/14,14,5,2,1,6
0.7333333333333333,0.7410714285714286,0.8571428571428571,0.625,3,0.7321428571428572,csp_4_empirical,True,0.8571428571428571,97,14,6/10,15,6,1,3,5
0.7333333333333333,0.7232142857142857,0.875,0.5714285714285714,1,0.7222222222222222,spectral_baseline_6,False,0.75,98,6,10/14,15,7,1,3,4
0.6666666666666666,0.6696428571428572,0.625,0.7142857142857143,2,0.6666666666666666,spectral_baseline_6,False,0.5714285714285714,98,10,6/14,15,5,3,2,5
0.6,0.6071428571428572,0.5,0.7142857142857143,3,0.5982142857142857,spectral_baseline_6,False,0.5357142857142857,98,14,6/10,15,4,4,2,5
0.6428571428571429,0.6458333333333333,0.625,0.6666666666666666,1,0.641025641025641,spectral_baseline_6,True,0.7083333333333334,98,6,10/14,14,5,3,2,4
0.7142857142857143,0.7083333333333333,0.75,0.6666666666666666,2,0.7083333333333333,spectral_baseline_6,True,0.7708333333333334,98,10,6/14,14,6,2,2,4
0.6153846153846154,0.6190476190476191,0.6666666666666666,0.5714285714285714,3,0.6153846153846154,spectral_baseline_6,True,0.6428571428571428,98,14,6/10,13,4,2,3,4
0.9333333333333333,0.9375,0.875,1.0,1,0.9333333333333333,csp_4_empirical,False,0.9464285714285714,98,6,10/14,15,7,1,0,7
0.8,0.7946428571428572,0.875,0.7142857142857143,2,0.7963800904977376,csp_4_empirical,False,0.875,98,10,6/14,15,7,1,2,5
0.5333333333333333,0.5357142857142857,0.5,0.5714285714285714,3,0.5333333333333333,csp_4_empirical,False,0.6607142857142857,98,14,6/10,15,4,4,3,4
0.8571428571428571,0.8541666666666667,0.875,0.8333333333333334,1,0.8541666666666667,csp_4_empirical,True,0.9166666666666666,98,6,10/14,14,7,1,1,5
0.8571428571428571,0.8541666666666667,0.875,0.8333333333333334,2,0.8541666666666667,csp_4_empirical,True,0.875,98,10,6/14,14,7,1,1,5
0.5384615384615384,0.5357142857142857,0.5,0.5714285714285714,3,0.5357142857142857,csp_4_empirical,True,0.6904761904761905,98,14,6/10,13,3,3,3,4
0.4,0.41964285714285715,0.125,0.7142857142857143,1,0.354066985645933,spectral_baseline_6,False,0.1785714285714286,99,6,10/14,15,1,7,2,5
0.4666666666666667,0.4732142857142857,0.375,0.5714285714285714,2,0.4642857142857143,spectral_baseline_6,False,0.32142857142857145,99,10,6/14,15,3,5,3,4
0.5333333333333333,0.5357142857142857,0.5,0.5714285714285714,3,0.5333333333333333,spectral_baseline_6,False,0.4464285714285714,99,14,6/10,15,4,4,3,4
0.4,0.41964285714285715,0.125,0.7142857142857143,1,0.354066985645933,spectral_baseline_6,True,0.25,99,6,10/14,15,1,7,2,5
0.4666666666666667,0.4732142857142857,0.375,0.5714285714285714,2,0.4642857142857143,spectral_baseline_6,True,0.375,99,10,6/14,15,3,5,3,4
0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,0.5714285714285714,spectral_baseline_6,True,0.5102040816326531,99,14,6/10,14,4,3,3,4
0.5333333333333333,0.5267857142857143,0.625,0.42857142857142855,1,0.5248868778280543,csp_4_empirical,False,0.5714285714285714,99,6,10/14,15,5,3,4,3
0.7333333333333333,0.7410714285714286,0.625,0.8571428571428571,2,0.7321428571428572,csp_4_empirical,False,0.7678571428571428,99,10,6/14,15,5,3,1,6
0.6666666666666666,0.6607142857142857,0.75,0.5714285714285714,3,0.660633484162896,csp_4_empirical,False,0.7321428571428572,99,14,6/10,15,6,2,3,4
0.5333333333333333,0.5357142857142857,0.5,0.5714285714285714,1,0.5333333333333333,csp_4_empirical,True,0.625,99,6,10/14,15,4,4,3,4
0.7333333333333333,0.75,0.5,1.0,2,0.7222222222222222,csp_4_empirical,True,0.8928571428571429,99,10,6/14,15,4,4,0,7
0.7142857142857143,0.7142857142857142,0.8571428571428571,0.5714285714285714,3,0.7083333333333333,csp_4_empirical,True,0.7959183673469388,99,14,6/10,14,6,1,3,4
0.4,0.4107142857142857,0.5714285714285714,0.25,1,0.3891402714932127,spectral_baseline_6,False,0.35714285714285715,101,6,10/14,15,4,3,6,2
0.4666666666666667,0.4642857142857143,0.42857142857142855,0.5,2,0.4642857142857143,spectral_baseline_6,False,0.35714285714285715,101,10,6/14,15,3,4,4,4
0.3333333333333333,0.33035714285714285,0.2857142857142857,0.375,3,0.33035714285714285,spectral_baseline_6,False,0.21428571428571425,101,14,6/10,15,2,5,5,3
0.38461538461538464,0.39285714285714285,0.5,0.2857142857142857,1,0.38095238095238093,spectral_baseline_6,True,0.33333333333333337,101,6,10/14,13,3,3,5,2
0.3333333333333333,0.35,0.5,0.2,2,0.325,spectral_baseline_6,True,0.25,101,10,6/14,9,2,2,4,1
0.3076923076923077,0.30952380952380953,0.3333333333333333,0.2857142857142857,3,0.3076923076923077,spectral_baseline_6,True,0.3333333333333333,101,14,6/10,13,2,4,5,2
0.4,0.4107142857142857,0.5714285714285714,0.25,1,0.3891402714932127,csp_4_empirical,False,0.35714285714285715,101,6,10/14,15,4,3,6,2
0.4666666666666667,0.4732142857142857,0.5714285714285714,0.375,2,0.4642857142857143,csp_4_empirical,False,0.39285714285714285,101,10,6/14,15,4,3,5,3
0.4666666666666667,0.4375,0.0,0.875,3,0.3181818181818182,csp_4_empirical,False,0.49999999999999994,101,14,6/10,15,0,7,1,7
0.5384615384615384,0.5357142857142857,0.5,0.5714285714285714,1,0.5357142857142857,csp_4_empirical,True,0.45238095238095233,101,6,10/14,13,3,3,3,4
0.5555555555555556,0.575,0.75,0.4,2,0.55,csp_4_empirical,True,0.49999999999999994,101,10,6/14,9,3,1,3,2
0.5384615384615384,0.5,0.0,1.0,3,0.35,csp_4_empirical,True,0.5238095238095237,101,14,6/10,13,0,6,0,7
0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1,0.5714285714285714,spectral_baseline_6,False,0.5918367346938775,102,6,10/14,14,4,3,3,4
0.5714285714285714,0.5714285714285714,1.0,0.14285714285714285,2,0.475,spectral_baseline_6,False,0.5918367346938775,102,10,6/14,14,7,0,6,1
0.5,0.5,0.2857142857142857,0.7142857142857143,3,0.47593582887700536,spectral_baseline_6,False,0.653061224489796,102,14,6/10,14,2,5,2,5
