subject,model,primary_mean_run_balanced_accuracy,balanced_accuracy_run_6,balanced_accuracy_run_10,balanced_accuracy_run_14,participant_run_range,pooled_balanced_accuracy,pooled_accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,group_observational_unit,zero_shot,target_adaptation_used
67,shrinkage_lda,0.46428571428571425,0.39285714285714285,0.4642857142857143,0.5357142857142857,0.14285714285714285,0.46739130434782605,0.4666666666666667,0.43478260869565216,0.5,10,13,11,11,45,False,participant,True,False
67,shrinkage_lda,0.46428571428571425,0.42857142857142855,0.4642857142857143,0.5,0.07142857142857145,0.46645021645021645,0.46511627906976744,0.4090909090909091,0.5238095238095238,9,13,10,11,43,True,participant,True,False
68,shrinkage_lda,0.7172619047619048,0.8660714285714286,0.5535714285714286,0.7321428571428572,0.3125,0.708498023715415,0.7111111111111111,0.5909090909090909,0.8260869565217391,13,9,4,19,45,False,participant,True,False
68,shrinkage_lda,0.6805555555555557,0.775,0.5666666666666667,0.7,0.20833333333333337,0.6696428571428572,0.6666666666666666,0.625,0.7142857142857143,10,6,4,10,30,True,participant,True,False
69,shrinkage_lda,0.574404761904762,0.5892857142857143,0.6696428571428572,0.4642857142857143,0.2053571428571429,0.5790513833992095,0.5777777777777777,0.6363636363636364,0.5217391304347826,14,8,11,12,45,False,participant,True,False
69,shrinkage_lda,0.6051587301587301,0.5416666666666666,0.7738095238095238,0.5,0.27380952380952384,0.6083333333333334,0.6097560975609756,0.6666666666666666,0.55,14,7,9,11,41,True,participant,True,False
70,shrinkage_lda,0.5773809523809524,0.7321428571428572,0.5089285714285714,0.49107142857142855,0.24107142857142866,0.5721343873517787,0.5777777777777777,0.8260869565217391,0.3181818181818182,19,4,15,7,45,False,participant,True,False
70,shrinkage_lda,0.5841269841269842,0.7571428571428571,0.5119047619047619,0.48333333333333334,0.2738095238095238,0.5712074303405573,0.5833333333333334,0.7894736842105263,0.35294117647058826,15,4,11,6,36,True,participant,True,False
71,shrinkage_lda,0.5208333333333334,0.5,0.5625,0.5,0.0625,0.5217391304347826,0.5111111111111111,0.043478260869565216,1.0,1,22,0,22,45,False,participant,True,False
71,shrinkage_lda,0.5208333333333334,0.5,0.5625,0.5,0.0625,0.525,0.4864864864864865,0.05,1.0,1,19,0,17,37,True,participant,True,False
72,shrinkage_lda,0.7857142857142857,0.8571428571428572,0.7142857142857143,0.7857142857142857,0.1428571428571429,0.7857142857142857,0.7857142857142857,0.5714285714285714,1.0,12,9,0,21,42,False,participant,True,False
72,shrinkage_lda,0.736111111111111,0.875,0.6666666666666666,0.6666666666666666,0.20833333333333337,0.7307692307692308,0.7741935483870968,0.46153846153846156,1.0,6,7,0,18,31,True,participant,True,False
73,shrinkage_lda,0.5714285714285715,0.7857142857142857,0.4285714285714286,0.5,0.3571428571428571,0.5714285714285714,0.5714285714285714,0.8095238095238095,0.3333333333333333,17,4,14,7,42,False,participant,True,False
73,shrinkage_lda,0.6043650793650793,0.8333333333333333,0.40476190476190477,0.575,0.4285714285714285,0.6006944444444444,0.5882352941176471,0.8125,0.3888888888888889,13,3,11,7,34,True,participant,True,False
74,shrinkage_lda,0.5,0.42857142857142855,0.5,0.5714285714285714,0.14285714285714285,0.5,0.5,0.047619047619047616,0.9523809523809523,1,20,1,20,42,False,participant,True,False
74,shrinkage_lda,0.5277777777777778,0.5,0.5,0.5833333333333334,0.08333333333333337,0.525,0.45714285714285713,0.05,1.0,1,19,0,15,35,True,participant,True,False
75,shrinkage_lda,0.5863095238095238,0.6696428571428572,0.6160714285714286,0.4732142857142857,0.1964285714285715,0.5863095238095238,0.5777777777777777,0.7142857142857143,0.4583333333333333,15,6,13,11,45,False,participant,True,False
75,shrinkage_lda,0.6172619047619047,0.7,0.6160714285714286,0.5357142857142857,0.16428571428571426,0.6052631578947368,0.6052631578947368,0.7368421052631579,0.47368421052631576,14,5,10,9,38,True,participant,True,False
76,shrinkage_lda,0.5714285714285715,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.28571428571428575,0.5714285714285714,0.5714285714285714,0.7619047619047619,0.38095238095238093,16,5,13,8,42,False,participant,True,False
