subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,training_subjects,target_adaptation_used
41,shrinkage_lda,10,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.8571428571428571,5,2,1,6,14,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
41,shrinkage_lda,14,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.8571428571428571,5,2,1,6,14,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
41,shrinkage_lda,6,0.5,0.5,0.5714285714285714,0.42857142857142855,4,3,4,3,14,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
41,shrinkage_lda,10,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.8571428571428571,5,2,1,6,14,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
41,shrinkage_lda,14,0.7285714285714285,0.75,0.6,0.8571428571428571,3,2,1,6,12,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
42,shrinkage_lda,6,0.8660714285714286,0.8666666666666667,0.875,0.8571428571428571,7,1,1,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
42,shrinkage_lda,10,0.8571428571428572,0.8666666666666667,1.0,0.7142857142857143,8,0,2,5,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
42,shrinkage_lda,14,0.8660714285714286,0.8666666666666667,0.875,0.8571428571428571,7,1,1,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
42,shrinkage_lda,6,0.8452380952380952,0.8461538461538461,0.8333333333333334,0.8571428571428571,5,1,1,6,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
42,shrinkage_lda,10,0.8571428571428572,0.8333333333333334,1.0,0.7142857142857143,5,0,2,5,12,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
42,shrinkage_lda,14,0.8452380952380952,0.8461538461538461,0.8333333333333334,0.8571428571428571,5,1,1,6,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
43,shrinkage_lda,6,0.7232142857142857,0.7333333333333333,0.875,0.5714285714285714,7,1,3,4,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
43,shrinkage_lda,10,0.7321428571428572,0.7333333333333333,0.75,0.7142857142857143,6,2,2,5,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
43,shrinkage_lda,14,0.6071428571428572,0.6,0.7142857142857143,0.5,5,2,4,4,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
43,shrinkage_lda,6,0.7023809523809523,0.6923076923076923,0.8333333333333334,0.5714285714285714,5,1,3,4,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
43,shrinkage_lda,10,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5,14,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
43,shrinkage_lda,14,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,2,2,4,12,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
44,shrinkage_lda,6,0.8035714285714286,0.8,0.75,0.8571428571428571,6,2,1,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
44,shrinkage_lda,10,0.6875,0.6666666666666666,0.375,1.0,3,5,0,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
44,shrinkage_lda,14,0.6607142857142857,0.6666666666666666,0.5714285714285714,0.75,4,3,2,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
