subject,test_run,condition,balanced_accuracy,fists_recall,feet_recall,variant_count,test_trial_count
54,10,C,0.5446428571428572,0.375,0.7142857142857143,1,15
54,14,A,0.6607142857142857,0.75,0.5714285714285714,2,15
54,14,B,0.7633928571428572,0.8125,0.7142857142857143,2,15
54,14,C,0.7946428571428572,0.875,0.7142857142857143,1,15
55,6,A,0.8571428571428572,1.0,0.7142857142857143,2,15
55,6,B,0.8571428571428572,1.0,0.7142857142857143,2,15
55,6,C,1.0,1.0,1.0,1,15
55,10,A,0.8258928571428572,0.9375,0.7142857142857143,2,15
55,10,B,1.0,1.0,1.0,2,15
55,10,C,0.9285714285714286,1.0,0.8571428571428571,1,15
55,14,A,0.8928571428571429,0.7857142857142857,1.0,2,15
55,14,B,0.8348214285714286,0.8571428571428571,0.8125,2,15
55,14,C,0.9285714285714286,0.8571428571428571,1.0,1,15
56,6,A,0.6160714285714286,0.8571428571428571,0.375,2,15
56,6,B,0.6875,1.0,0.375,2,15
56,6,C,0.6785714285714286,0.8571428571428571,0.5,1,15
56,10,A,0.8080357142857143,0.6875,0.9285714285714286,2,15
56,10,B,0.9285714285714286,1.0,0.8571428571428571,2,15
56,10,C,0.875,0.75,1.0,1,15
56,14,A,0.7276785714285714,0.8125,0.6428571428571428,2,15
56,14,B,0.7142857142857142,1.0,0.42857142857142855,2,15
56,14,C,0.8660714285714286,0.875,0.8571428571428571,1,15
57,6,A,0.5982142857142857,0.5714285714285714,0.625,2,15
57,6,B,0.6964285714285714,0.6428571428571428,0.75,2,15
57,6,C,0.6785714285714286,0.8571428571428571,0.5,1,15
57,10,A,0.4776785714285714,0.14285714285714285,0.8125,2,15
57,10,B,0.5089285714285714,0.14285714285714285,0.875,2,15
57,10,C,0.6607142857142857,0.5714285714285714,0.75,1,15
57,14,A,0.6741071428571429,0.5625,0.7857142857142857,2,15
57,14,B,0.65625,0.3125,1.0,2,15
57,14,C,0.5982142857142857,0.625,0.5714285714285714,1,15
58,6,A,0.6205357142857143,0.9285714285714286,0.3125,2,15
58,6,B,0.5,1.0,0.0,2,15
58,6,C,0.6696428571428572,0.7142857142857143,0.625,1,15
58,10,A,0.5580357142857142,0.6875,0.42857142857142855,2,15
58,10,B,0.5892857142857143,0.75,0.42857142857142855,2,15
58,10,C,0.7946428571428572,0.875,0.7142857142857143,1,15
58,14,A,0.7321428571428572,0.75,0.7142857142857142,2,15
58,14,B,0.6964285714285714,0.75,0.6428571428571428,2,15
58,14,C,0.9375,0.875,1.0,1,15
59,6,A,0.5267857142857142,0.625,0.42857142857142855,2,15
59,6,B,0.6026785714285714,0.5625,0.6428571428571428,2,15
59,6,C,0.4642857142857143,0.5,0.42857142857142855,1,15
59,10,A,0.6339285714285714,0.6428571428571428,0.625,2,15
59,10,B,0.5491071428571428,0.2857142857142857,0.8125,2,15
59,10,C,0.5178571428571428,0.2857142857142857,0.75,1,15
59,14,A,0.6383928571428572,0.7142857142857143,0.5625,2,15
59,14,B,0.5357142857142858,0.5714285714285714,0.5,2,15
59,14,C,0.5714285714285714,0.14285714285714285,1.0,1,15
60,6,A,0.90625,1.0,0.8125,2,15
60,6,B,0.8125,1.0,0.625,2,15
60,6,C,0.9375,1.0,0.875,1,15
60,10,A,0.6875,0.5,0.875,2,15
60,10,B,0.5089285714285714,0.14285714285714285,0.875,2,15
60,10,C,0.7232142857142857,0.5714285714285714,0.875,1,15
60,14,A,0.8348214285714286,0.8571428571428572,0.8125,2,15
60,14,B,0.6651785714285714,0.6428571428571428,0.6875,2,15
60,14,C,0.8660714285714286,0.8571428571428571,0.875,1,15
61,6,A,0.5,0.5,0.5,2,15
61,6,B,0.6428571428571428,0.5,0.7857142857142857,2,15
61,6,C,0.6517857142857143,0.875,0.42857142857142855,1,15
61,10,A,0.42410714285714285,0.0625,0.7857142857142857,2,15
61,10,B,0.5803571428571429,0.375,0.7857142857142857,2,15
61,10,C,0.5446428571428572,0.375,0.7142857142857143,1,15
61,14,A,0.48214285714285715,0.25,0.7142857142857142,2,15
61,14,B,0.71875,0.9375,0.5,2,15
61,14,C,0.7410714285714286,0.625,0.8571428571428571,1,15
62,6,A,0.78125,0.5625,1.0,2,15
62,6,B,0.90625,0.8125,1.0,2,15
62,6,C,0.875,0.75,1.0,1,15
62,10,A,1.0,1.0,1.0,2,15
62,10,B,1.0,1.0,1.0,2,15
62,10,C,1.0,1.0,1.0,1,15
62,14,A,0.875,0.75,1.0,2,15
62,14,B,0.9375,0.875,1.0,2,15
62,14,C,0.9375,0.875,1.0,1,15
63,6,A,0.5,0.5,0.5,2,15
63,6,B,0.6071428571428572,0.21428571428571427,1.0,2,15
63,6,C,0.5,0.0,1.0,1,15
63,10,A,0.4732142857142857,0.375,0.5714285714285714,2,15
