subject,condition,balanced_accuracy,fists_recall,feet_recall
82,C,0.48065476190476186,0.4375,0.5238095238095238
83,A,0.6898809523809524,0.7714285714285714,0.6083333333333333
83,B,0.6654761904761904,0.6365079365079366,0.6944444444444445
83,C,0.45625,0.37777777777777777,0.5347222222222222
84,A,0.5749007936507936,0.45396825396825397,0.6958333333333333
84,B,0.5437500000000001,0.611111111111111,0.4763888888888889
84,C,0.5230158730158729,0.24603174603174602,0.7999999999999999
85,A,0.5868055555555556,0.17361111111111113,1.0
85,B,0.808531746031746,0.8027777777777777,0.8142857142857144
85,C,0.8204365079365079,0.8250000000000001,0.815873015873016
86,A,0.7261904761904763,0.6190476190476191,0.8333333333333334
86,B,0.6383928571428571,0.7142857142857143,0.5625
86,C,0.7142857142857143,0.7619047619047619,0.6666666666666666
87,A,0.5290674603174604,0.7374999999999999,0.3206349206349206
87,B,0.4793650793650794,0.4777777777777778,0.480952380952381
87,C,0.42063492063492064,0.25555555555555554,0.5857142857142857
89,A,0.5803571428571429,0.5416666666666666,0.6190476190476191
89,B,0.5565476190476191,0.5416666666666666,0.5714285714285714
89,C,0.4598214285714286,0.3958333333333333,0.5238095238095238
90,A,0.47321428571428575,0.726984126984127,0.21944444444444444
90,B,0.47767857142857145,0.4317460317460317,0.5236111111111111
90,C,0.43323412698412694,0.4984126984126984,0.3680555555555555
91,A,0.6208333333333332,0.6333333333333333,0.6083333333333334
91,B,0.5489087301587302,0.5825396825396826,0.5152777777777778
91,C,0.6000992063492063,0.6793650793650793,0.5208333333333334
93,A,0.7804563492063492,0.6513888888888889,0.9095238095238095
93,B,0.8124007936507937,0.8486111111111111,0.7761904761904761
93,C,0.6847222222222222,0.625,0.7444444444444445
94,A,0.5831349206349207,0.9079365079365079,0.2583333333333333
94,B,0.6536706349206348,0.6809523809523809,0.6263888888888888
94,C,0.5653769841269841,0.7015873015873014,0.42916666666666664
95,A,0.7529761904761904,0.5920634920634921,0.9138888888888889
95,B,0.6572420634920636,0.6825396825396824,0.6319444444444445
