subject,size,balanced_accuracy,fists_recall,feet_recall
87,14,0.581845238095238,0.6011904761904762,0.5625
87,18,0.5297619047619048,0.49702380952380953,0.5625
87,22,0.6071428571428572,0.6517857142857143,0.5624999999999999
87,26,0.650297619047619,0.8035714285714285,0.4970238095238095
87,28,0.6875,0.8273809523809524,0.5476190476190477
89,14,0.5461309523809524,0.3541666666666667,0.7380952380952381
89,18,0.5372023809523809,0.4791666666666667,0.5952380952380952
89,22,0.5669642857142857,0.3958333333333333,0.738095238095238
89,26,0.5699404761904762,0.6875,0.4523809523809524
89,28,0.5625,0.7916666666666666,0.3333333333333333
90,14,0.5267857142857143,0.7619047619047619,0.2916666666666667
90,18,0.5491071428571428,0.7857142857142856,0.3125
90,22,0.605654761904762,0.7380952380952381,0.47321428571428575
90,26,0.5282738095238094,0.738095238095238,0.31845238095238093
90,28,0.5803571428571428,0.7202380952380952,0.44047619047619047
91,14,0.5580357142857143,0.33035714285714285,0.7857142857142857
91,18,0.6488095238095238,0.5119047619047619,0.7857142857142857
91,22,0.6607142857142857,0.5148809523809524,0.8065476190476191
91,26,0.7544642857142857,0.7023809523809524,0.8065476190476191
91,28,0.7321428571428571,0.6785714285714285,0.7857142857142857
93,14,0.7946428571428571,0.7440476190476191,0.8452380952380952
93,18,0.7827380952380952,0.7440476190476191,0.8214285714285715
93,22,0.8571428571428571,0.8690476190476191,0.8452380952380952
93,26,0.8794642857142857,0.8898809523809524,0.8690476190476191
93,28,0.8898809523809524,0.9107142857142857,0.8690476190476191
94,14,0.7232142857142857,0.8095238095238094,0.6369047619047619
94,18,0.7916666666666666,0.7857142857142857,0.7976190476190476
94,22,0.7886904761904763,0.7142857142857143,0.8630952380952381
94,26,0.7708333333333334,0.7172619047619048,0.8244047619047619
94,28,0.7678571428571429,0.6190476190476191,0.9166666666666666
95,14,0.5922619047619048,0.6636904761904762,0.5208333333333334
95,18,0.7098214285714285,0.6488095238095238,0.7708333333333334
95,22,0.6696428571428571,0.5267857142857143,0.8125
95,26,0.75,0.6875,0.8125
95,28,0.7321428571428571,0.6309523809523809,0.8333333333333334
96,14,0.5223214285714286,0.5238095238095238,0.5208333333333334
96,18,0.48660714285714285,0.4523809523809524,0.5208333333333334
96,22,0.5297619047619048,0.4761904761904761,0.5833333333333334
96,26,0.4836309523809524,0.4047619047619047,0.5625
96,28,0.505952380952381,0.42857142857142855,0.5833333333333334
97,14,0.6145833333333334,0.3422619047619048,0.8869047619047619
97,18,0.5952380952380952,0.40178571428571425,0.7886904761904763
97,22,0.6488095238095238,0.4613095238095238,0.8363095238095237
97,26,0.7440476190476191,0.625,0.8630952380952381
97,28,0.8273809523809524,0.7440476190476191,0.9107142857142857
98,14,0.7127976190476191,0.7380952380952381,0.6875
98,18,0.7827380952380952,0.8571428571428571,0.7083333333333334
98,22,0.7693452380952381,0.8095238095238096,0.7291666666666666
98,26,0.7589285714285715,0.8095238095238096,0.7083333333333334
98,28,0.7351190476190476,0.7619047619047619,0.7083333333333334
99,14,0.4836309523809524,0.5714285714285714,0.3958333333333333
99,18,0.5758928571428571,0.5476190476190476,0.6041666666666666
99,22,0.6041666666666666,0.6666666666666666,0.5416666666666666
99,26,0.5773809523809524,0.5714285714285714,0.5833333333333334
99,28,0.5595238095238095,0.6190476190476191,0.5
101,14,0.4568452380952381,0.4375,0.4761904761904762
101,18,0.5476190476190476,0.6666666666666666,0.42857142857142855
101,22,0.4851190476190476,0.5416666666666666,0.42857142857142855
101,26,0.4791666666666667,0.625,0.3333333333333333
101,28,0.44642857142857145,0.75,0.14285714285714285
102,14,0.5357142857142857,0.6428571428571429,0.42857142857142855
102,18,0.5357142857142857,0.5476190476190476,0.5238095238095237
102,22,0.5238095238095238,0.5476190476190476,0.5
102,26,0.5238095238095238,0.5238095238095238,0.5238095238095237
102,28,0.5238095238095238,0.5714285714285715,0.4761904761904761
103,14,0.5446428571428571,0.7559523809523809,0.3333333333333333
103,18,0.5416666666666666,0.8333333333333334,0.25
103,22,0.59375,0.7857142857142857,0.40178571428571425
103,26,0.7008928571428572,0.8303571428571429,0.5714285714285715
103,28,0.7232142857142857,0.8333333333333334,0.6130952380952381
104,14,0.7946428571428572,0.8601190476190476,0.7291666666666666
104,18,0.8333333333333334,0.8154761904761906,0.8511904761904763
104,22,0.8273809523809524,0.8630952380952381,0.7916666666666666
104,26,0.8020833333333334,0.8392857142857143,0.7648809523809524
104,28,0.8035714285714285,0.8154761904761904,0.7916666666666666
105,14,0.574404761904762,0.4583333333333333,0.6904761904761904
105,18,0.6264880952380952,0.5625,0.6904761904761904
105,22,0.5997023809523809,0.6041666666666666,0.5952380952380952
105,26,0.6532738095238094,0.6875,0.619047619047619
105,28,0.6875,0.7083333333333334,0.6666666666666666
106,14,0.5803571428571428,0.5059523809523809,0.6547619047619048
106,18,0.6592261904761905,0.6398809523809524,0.6785714285714285
106,22,0.6473214285714286,0.6517857142857143,0.6428571428571429
106,26,0.6607142857142858,0.6785714285714285,0.6428571428571429
106,28,0.6726190476190478,0.7023809523809524,0.6428571428571428
107,14,0.5967261904761906,0.4761904761904762,0.7172619047619048
107,18,0.6086309523809523,0.5029761904761905,0.7142857142857143
107,22,0.6324404761904762,0.5952380952380952,0.6696428571428571
107,26,0.6458333333333334,0.5863095238095238,0.7053571428571429
107,28,0.6785714285714285,0.6309523809523809,0.7261904761904763
108,14,0.5982142857142857,0.4136904761904761,0.7827380952380952
108,18,0.5461309523809524,0.3244047619047619,0.7678571428571429
108,22,0.5848214285714286,0.4880952380952381,0.6815476190476191
108,26,0.6086309523809524,0.4672619047619048,0.75
108,28,0.6101190476190476,0.42857142857142855,0.7916666666666666
109,14,0.6279761904761905,0.5833333333333334,0.6726190476190476
109,18,0.6607142857142857,0.625,0.6964285714285715
109,22,0.6026785714285715,0.6011904761904762,0.6041666666666666
109,26,0.5967261904761905,0.6875,0.5059523809523809
109,28,0.5863095238095238,0.7083333333333334,0.46428571428571425
