development_fold,subject,model,primary_mean_run_balanced_accuracy,balanced_accuracy_run_6,balanced_accuracy_run_10,balanced_accuracy_run_14,participant_run_range,pooled_balanced_accuracy,pooled_accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,group_observational_unit,zero_shot,target_adaptation_used
14,14,l2_logistic_regression,0.5267857142857143,0.5714285714285714,0.5089285714285714,0.5,0.0714285714285714,0.5267857142857143,0.5555555555555556,0.9583333333333334,0.09523809523809523,23,1,19,2,45,False,participant,True,False
14,14,l2_logistic_regression,0.5541666666666667,0.6,0.5625,0.5,0.09999999999999998,0.5416666666666666,0.6,0.95,0.13333333333333333,19,1,13,2,35,True,participant,True,False
15,15,shrinkage_lda,0.7380952380952381,0.6875,0.7410714285714286,0.7857142857142857,0.0982142857142857,0.7302371541501976,0.7333333333333333,0.5909090909090909,0.8695652173913043,13,9,3,20,45,False,participant,True,False
15,15,shrinkage_lda,0.7333333333333334,0.75,0.65,0.8,0.15000000000000002,0.7589285714285714,0.7666666666666667,0.6428571428571429,0.875,9,5,2,14,30,True,participant,True,False
15,15,l2_logistic_regression,0.7351190476190476,0.6875,0.8035714285714286,0.7142857142857143,0.1160714285714286,0.7292490118577075,0.7333333333333333,0.5454545454545454,0.9130434782608695,12,10,2,21,45,False,participant,True,False
15,15,l2_logistic_regression,0.6999999999999998,0.75,0.65,0.7,0.09999999999999998,0.7232142857142857,0.7333333333333333,0.5714285714285714,0.875,8,6,2,14,30,True,participant,True,False
16,16,shrinkage_lda,0.5982142857142857,0.5982142857142857,0.5267857142857143,0.6696428571428572,0.1428571428571429,0.5982142857142857,0.6,0.625,0.5714285714285714,15,9,9,12,45,False,participant,True,False
16,16,shrinkage_lda,0.6001984126984127,0.5982142857142857,0.5357142857142857,0.6666666666666667,0.13095238095238104,0.6015037593984962,0.6,0.5714285714285714,0.631578947368421,12,9,7,12,40,True,participant,True,False
16,16,l2_logistic_regression,0.5535714285714286,0.5357142857142857,0.45535714285714285,0.6696428571428572,0.21428571428571436,0.5535714285714286,0.5555555555555556,0.5833333333333334,0.5238095238095238,14,10,10,11,45,False,participant,True,False
16,16,l2_logistic_regression,0.5515873015873015,0.5357142857142857,0.45238095238095233,0.6666666666666667,0.2142857142857144,0.5513784461152882,0.55,0.5238095238095238,0.5789473684210527,11,10,8,11,40,True,participant,True,False
17,17,shrinkage_lda,0.6011904761904763,0.4642857142857143,0.6071428571428572,0.7321428571428572,0.2678571428571429,0.6011904761904763,0.6,0.5833333333333334,0.6190476190476191,14,10,8,13,45,False,participant,True,False
17,17,shrinkage_lda,0.5908730158730159,0.43333333333333335,0.6071428571428572,0.7321428571428572,0.29880952380952386,0.6076555023923444,0.6097560975609756,0.6363636363636364,0.5789473684210527,14,8,8,11,41,True,participant,True,False
17,17,l2_logistic_regression,0.6011904761904763,0.4642857142857143,0.6071428571428572,0.7321428571428572,0.2678571428571429,0.6011904761904763,0.6,0.5833333333333334,0.6190476190476191,14,10,8,13,45,False,participant,True,False
17,17,l2_logistic_regression,0.5908730158730159,0.43333333333333335,0.6071428571428572,0.7321428571428572,0.29880952380952386,0.6076555023923444,0.6097560975609756,0.6363636363636364,0.5789473684210527,14,8,8,11,41,True,participant,True,False
18,18,shrinkage_lda,0.5029761904761905,0.5,0.5,0.5089285714285714,0.008928571428571397,0.4990118577075099,0.4888888888888889,0.9545454545454546,0.043478260869565216,21,1,22,1,45,False,participant,True,False
18,18,shrinkage_lda,0.5029761904761905,0.5,0.5,0.5089285714285714,0.008928571428571397,0.4990118577075099,0.4888888888888889,0.9545454545454546,0.043478260869565216,21,1,22,1,45,True,participant,True,False
18,18,l2_logistic_regression,0.4791666666666667,0.5,0.5,0.4375,0.0625,0.4772727272727273,0.4666666666666667,0.9545454545454546,0.0,21,1,23,0,45,False,participant,True,False
18,18,l2_logistic_regression,0.4791666666666667,0.5,0.5,0.4375,0.0625,0.4772727272727273,0.4666666666666667,0.9545454545454546,0.0,21,1,23,0,45,True,participant,True,False
19,19,shrinkage_lda,0.4583333333333333,0.5714285714285714,0.3125,0.49107142857142855,0.2589285714285714,0.45849802371541504,0.4666666666666667,0.09090909090909091,0.8260869565217391,2,20,4,19,45,False,participant,True,False
19,19,shrinkage_lda,0.46527777777777773,0.5714285714285714,0.3333333333333333,0.49107142857142855,0.23809523809523808,0.47857142857142854,0.4878048780487805,0.1,0.8571428571428571,2,18,3,18,41,True,participant,True,False
19,19,l2_logistic_regression,0.5,0.5714285714285714,0.375,0.5535714285714286,0.1964285714285714,0.5029644268774703,0.5111111111111111,0.13636363636363635,0.8695652173913043,3,19,3,20,45,False,participant,True,False
19,19,l2_logistic_regression,0.4861111111111111,0.5714285714285714,0.3333333333333333,0.5535714285714286,0.23809523809523808,0.5035714285714286,0.5121951219512195,0.15,0.8571428571428571,3,17,3,18,41,True,participant,True,False
20,20,shrinkage_lda,0.5476190476190476,0.5357142857142857,0.49107142857142855,0.6160714285714286,0.12500000000000006,0.5326086956521738,0.5333333333333333,0.5652173913043478,0.5,13,10,11,11,45,False,participant,True,False
